id,shop_name,owner_name,strength,style,category_id,must_change_password,created_at,updated_at,role
24c27e01-548a-40f8-974c-2eefbdf4a0fd,谷口のお店,谷口 優,この辺でタオル言うたらここやき。ひとつあると安心やき。 気になったら声かけてよ。 見たら思わず手が伸びるがよ。,昼前後まで出店。雨天は様子を見て判断します。雑談は控えめです。,57b32c4e-0985-42be-af4b-e2869889cf94,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
bed27e2e-d631-45df-9bb9-74809e2f1f11,多肉植物の庭,松井 俊介,多肉植物の庭の種は評判やきね。仕上げがきれいに出ちゅう。 こりゃおすすめやき。 ここは外さんと損やき。,毎週日曜の午前に出店。雨の日はお休みです。雑談は多めです。,64b50182-b527-47a9-81c4-2fd1dc2681e9,true,2026-01-06 05:58:44.328645+00,2026-02-24 08:53:43.074904+00,vendor
c2af89a7-33c6-4c76-becd-909c904c0571,鎌の工房,岡田 美紀,えいのこぎりが揃うちゅう。こだわりが見える品やき。 ついでに寄ってみいや。,昼前後まで出店。雨天は様子を見て判断します。雑談は控えめです。,5df86d0b-002d-4bf5-ac2e-500ec532adaa,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
4e20142d-0644-47fe-89eb-8a8952bef7f5,山本のお店,山本 直美,お弁当はここがいちばんやき。実物見ると印象変わるき。 見たら分かるき。,朝早くから開けています。雨天時は短縮営業です。雑談はほどほどです。,53a731e3-c3fe-46c0-921a-36b27ccd63a4,true,2026-01-06 05:58:44.328645+00,2026-02-24 08:53:43.074904+00,vendor
5dcd1023-00e2-496f-a6d0-e9c2b0145cec,革製品工房,中村 莉央,この辺で刺繍言うたらここやき。使うたら分かるがよ。 ついでに寄ってみいや。 見たら思わず手が伸びるがよ。,毎週日曜の午前に出店。雨の日はお休みです。雑談は多めです。,a0457227-4a7c-42a3-aff6-6424661fd517,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
72c6ed2b-9262-45ad-9f85-7bb8f6e0b604,土佐しょうゆ便,杉本 愛,あら、ここのお店、最近行ってないねぇ。今日は何が出ちゅうか、ちょっと見てきてくれん？,午前中心に出店。雨天でも可能な限り営業します。雑談は控えめです。,a0ddb575-c6c6-4bf0-83a7-05528747a5e8,true,2026-01-06 05:58:44.328645+00,2026-02-24 08:53:43.074904+00,vendor
9bef536e-397b-4a93-bdb2-318d43b3eb4d,季節の酢屋,松尾 俊介,酢目当てで来る人も多いがよ。使うたら分かるがよ。 気になったら声かけてよ。,昼前後まで出店。雨天は様子を見て判断します。雑談は控えめです。,a0ddb575-c6c6-4bf0-83a7-05528747a5e8,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
3bac4c22-b910-40f0-8e5e-fec9d6173e53,朝どれレタス店,藤井 海斗,りんごはここがいちばんやき。手元に置いたら嬉しなるき。 一回のぞいてみいや。,毎週日曜の午前に出店。雨の日はお休みです。雑談は多めです。,a0ddb575-c6c6-4bf0-83a7-05528747a5e8,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
57a93f54-8b05-44e0-9a05-772c71cba1b6,福田のお店,福田 海里,この辺で塩言うたらここやき。こだわりが見える品やき。 見たら分かるき。,毎週日曜の午前に出店。雨の日はお休みです。雑談は多めです。,a0ddb575-c6c6-4bf0-83a7-05528747a5e8,true,2026-01-06 05:58:44.328645+00,2026-02-24 08:53:43.074904+00,vendor
8a81553f-2711-4434-acf4-e60f299e9603,手しごと剪定鋏,山本 律,この店の包丁は、手間かけちゅうのが分かるき。 ついでに寄ってみいや。,毎週日曜の午前に出店。雨の日はお休みです。雑談は多めです。,5df86d0b-002d-4bf5-ac2e-500ec532adaa,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
c83a4054-9493-4b48-9656-bf2543c2a6b1,季節のしょうゆ屋,中川 真一,この辺でしょうゆ言うたらここやき。今日は出来がえい日やき。 外せんきね。 見たら思わず手が伸びるがよ。,午前中心に出店。雨天でも可能な限り営業します。雑談は控えめです。,a0ddb575-c6c6-4bf0-83a7-05528747a5e8,true,2026-01-06 05:58:43.30179+00,2026-02-24 08:53:43.074904+00,vendor
